,Small-Low,Small-High,Big-Low,Big-High,Market,Rf
195604,1.2824,0.0938,0.107,0.8141,0.47,0.19
195605,-3.398,-4.5065,-5.1203,-6.625,-4.97,0.23
195606,1.0128,1.3162,4.3047,1.7512,3.68,0.2
195607,3.3517,3.4705,5.0829,4.8851,5.06,0.22
195608,-0.2685,-2.1439,-3.5272,-3.129,-3.01,0.17
195609,-3.3845,-2.1313,-5.9383,-3.6745,-4.96,0.18
195610,1.1872,0.4057,0.6819,1.3341,0.77,0.25
195611,-0.3115,2.2516,-0.3983,0.591,0.56,0.2
195612,4.3647,2.2078,3.8264,1.6819,3.4,0.24
195701,-0.7927,2.0202,-4.4516,-1.6359,-3.31,0.27
195702,-2.8013,-2.7095,-1.5275,-3.0645,-1.82,0.24
195703,2.2189,2.2445,2.7044,1.7164,2.36,0.23
195704,2.2226,2.332,5.6088,2.6036,4.51,0.25
195705,3.0121,1.7131,4.7371,1.8302,3.71,0.26
195706,0.0903,0.7272,-0.1233,-0.7328,-0.5,0.24
195707,-0.6273,0.4256,1.2811,1.0783,0.96,0.3
195708,-4.9836,-5.1912,-5.4514,-6.0634,-4.86,0.25
195709,-7.1005,-5.0458,-6.3295,-6.5429,-5.72,0.26
195710,-8.1775,-8.2617,-3.771,-7.2925,-4.03,0.29
195711,3.2423,1.0946,3.0955,-0.5021,2.58,0.28
195712,-4.601,-5.8678,-3.9214,-5.8875,-3.67,0.24
195801,12.2097,11.9178,3.3984,12.0687,4.94,0.28
195802,-1.6496,-0.5017,-1.8071,-2.2917,-1.4,0.12
195803,5.0565,3.1135,3.4064,3.4058,3.36,0.09
195804,2.948,4.3224,3.332,5.1872,3.17,0.08
195805,6.4635,4.2645,2.0583,3.7347,2.42,0.11
195806,2.1201,2.991,3.1465,3.0753,2.96,0.03
195807,4.2272,7.1336,4.3856,7.609,4.46,0.07
195808,4.3354,3.2318,1.7085,3.5333,1.95,0.04
195809,5.5017,7.7889,4.7619,8.1716,4.85,0.19
195810,6.9335,3.0463,2.607,4.1345,2.71,0.18
195811,7.6723,4.0856,3.3185,4.5387,3.12,0.11
195812,2.7461,3.8361,4.975,3.9448,5.37,0.22
195901,4.4917,5.6035,-0.6209,4.0781,0.92,0.21
195902,2.3973,2.9076,0.4613,2.2671,1.14,0.19
195903,1.606,1.7328,0.7407,-0.0759,0.5,0.22
195904,3.777,2.1226,4.7089,3.8935,3.86,0.2
195905,-1.407,1.3377,2.7434,3.5877,1.95,0.22
195906,1.7232,1.8299,-0.3827,2.1358,0,0.25
195907,2.1952,3.5632,3.9908,3.0828,3.42,0.25
195908,-1.8317,-1.913,-1.3549,-0.3839,-1.2,0.19
195909,-5.3951,-3.995,-5.0254,-5.3237,-4.49,0.31
195910,3.9778,1.1012,1.4464,0.1319,1.58,0.3
195911,3.8377,0.5945,3.0126,-0.1725,1.86,0.26
195912,3.426,2.1134,2.9781,4.16,2.79,0.34
196001,-5.8167,-2.8628,-8.2071,-5.5931,-6.65,0.33
196002,2.0494,0.5956,1.3139,-1.0929,1.46,0.29
196003,-2.2401,-3.9046,-0.8789,-5.0967,-1.28,0.35
196004,0.1366,-2.9882,-1.5721,-3.0143,-1.52,0.19
196005,5.2614,2.451,4.31,-0.2716,3.39,0.27
196006,2.3744,1.4522,2.5669,2.7993,2.32,0.24
196007,-3.2061,-1.4318,-3.4769,-1.2884,-2.24,0.13
196008,4.1735,4.1669,2.7378,2.3875,3.18,0.17
196009,-7.6558,-6.0058,-6.7352,-5.148,-5.83,0.16
196010,-6.7183,-2.762,-0.614,1.0929,-0.49,0.22
196011,6.5493,3.1327,5.4248,3.9773,4.82,0.13
196012,4.1529,2.4035,3.5644,3.6988,4.87,0.16
196101,7.4118,9.6199,4.9162,10.1383,6.39,0.19
196102,7.771,7.3587,4.0441,3.1417,3.71,0.14
196103,7.362,5.9946,2.1715,2.075,3.09,0.2
196104,1.136,2.3956,-0.3161,2.6644,0.46,0.17
196105,3.5699,4.8259,3.1987,2.6756,2.58,0.18
196106,-5.8585,-5.5313,-2.2745,-2.8821,-2.88,0.2
196107,-0.5142,1.3313,3.1593,1.1407,3.01,0.18
196108,0.7691,1.1012,3.2055,2.3077,2.71,0.14
196109,-4.6924,-3.3019,-1.176,-3.7784,-1.98,0.17
196110,0.8745,0.2788,2.2585,3.1468,2.76,0.19
196111,6.5024,4.7062,4.8918,4.2212,4.6,0.15
196112,-1.2784,0.3555,-0.2199,1.7303,0.01,0.19
196201,-2.605,2.2592,-5.0016,0.3934,-3.63,0.24
196202,0.7054,1.7967,1.8606,2.4047,2.01,0.2
196203,0.4216,-0.5598,-0.3751,-2.1517,-0.48,0.2
196204,-6.3111,-6.8347,-6.6656,-6.0788,-6.37,0.22
196205,-12.252,-9.5501,-9.0826,-6.2353,-8.41,0.24
196206,-9.7765,-7.059,-9.0125,-6.6288,-8.27,0.2
196207,8.943,6.5163,7.8649,3.4812,6.55,0.27
196208,4.5675,2.4273,2.7447,2.494,2.36,0.23
196209,-8.0572,-6.193,-5.0148,-4.314,-5.01,0.21
196210,-4.9603,-2.0999,0.5823,0.3196,0.2,0.25
196211,14.9374,14.3781,11.3537,13.8057,11.07,0.2
196212,-3.5883,-2.179,1.5329,0.8372,1.24,0.23
196301,7.6553,9.819,4.9537,7.2031,5.18,0.25
196302,-2.5588,0.001,-2.7851,-0.9838,-2.15,0.23
196303,-0.0316,2.4028,3.4082,5.0932,3.31,0.23
196304,3.6602,4.8496,4.9908,5.7941,4.76,0.25
196305,1.8071,5.4639,2.252,3.682,2,0.24
196306,-1.2773,-1.7731,-2.326,-0.332,-1.77,0.23
196307,-0.996,-1.1202,-0.0411,-1.8554,-0.12,0.27
196308,4.5361,5.7786,5.389,7.7374,5.32,0.25
196309,-3.0338,-1.9949,-1.0644,-1.85,-1.3,0.27
196310,1.2001,2.7144,3.8445,2.1333,2.82,0.29
196311,-2.9288,-0.3615,-0.2458,0.6863,-0.58,0.27
196312,0.26,0.1898,2.0405,2.0776,2.12,0.29
196401,0.8461,3.9545,2.6865,2.5345,2.54,0.3
196402,1.5955,4.1435,1.4253,4.4977,1.8,0.26
196403,0.5705,5.1951,0.9246,3.1099,1.72,0.31
196404,-1.7606,-1.4626,0.4194,-1.2104,0.39,0.29
196405,0.9717,2.0641,1.5106,4.1377,1.68,0.26
196406,1.3983,1.9892,1.6666,2.3232,1.57,0.3
196407,1.5138,2.6263,1.9299,2.3212,2.04,0.3
196408,-1.4974,-1.2129,-1.2341,-1.3608,-1.16,0.28
196409,3.3709,3.5648,2.3822,5.5787,2.97,0.28
196410,1.1,2.341,0.2758,1.3829,0.88,0.29
196411,-0.1715,0.0818,0.4912,-3.681,0.29,0.29
196412,0.3628,-1.5316,1.1149,-1.9539,0.34,0.31
196501,7.0003,6.6399,3.9591,4.5649,3.82,0.28
196502,3.7212,4.3507,0.601,0.1864,0.74,0.3
196503,0.8913,1.5186,-1.1241,0.314,-0.98,0.36
196504,3.1183,5.2843,3.8016,2.9536,3.42,0.31
196505,-0.1126,-1.3166,-0.2667,-2.2744,-0.46,0.31
196506,-9.9226,-8.5618,-4.5515,-4.727,-5.16,0.35
196507,2.5334,4.1342,1.3395,4.1297,1.74,0.31
196508,6.6726,5.0715,2.9019,2.504,3.06,0.33
196509,3.8881,3.8147,3.7823,3.5859,3.17,0.31
196510,5.9453,6.3906,2.8072,5.4895,2.91,0.31
196511,4.0876,4.68,-0.0039,-0.2972,0.32,0.35
196512,3.8682,4.7121,0.842,4.0673,1.34,0.33
196601,4.2813,6.9633,-0.1714,4.269,1.1,0.38
196602,3.6803,3.3582,-1.6233,-0.6484,-0.86,0.35
196603,-0.4175,-1.9266,-1.5547,-4.0093,-2.13,0.38
196604,5.6851,5.6828,2.459,1.5507,2.48,0.34
196605,-9.9429,-10.3674,-4.2114,-7.0464,-5.25,0.41
196606,0.8269,-0.0157,-1.9931,-0.1531,-1.06,0.38
196607,-2.1391,-0.72,-1.6477,-1.1721,-1.28,0.35
196608,-11.1093,-10.4844,-7.6265,-7.3849,-7.5,0.41
196609,-2.0728,-1.4406,-0.9883,-0.5054,-0.66,0.4
196610,-3.6037,-0.1041,3.3124,5.1947,4.31,0.45
196611,7.7252,2.609,3.7009,-0.5612,1.8,0.4
196612,3.3601,0.7822,-0.3564,-0.1645,0.53,0.4
196701,17.8461,17.6522,7.8965,12.6306,8.58,0.43
196702,4.705,3.1331,1.9857,-0.8887,1.14,0.36
196703,5.9768,5.5722,4.3075,5.461,4.38,0.39
196704,5.5597,3.4647,6.001,3.1401,4.21,0.32
196705,-1.73,-2.2992,-4.9525,-2.1994,-4,0.33
196706,9.649,8.2267,1.4707,4.5906,2.68,0.27
196707,7.0273,10.2558,4.9185,7.1492,4.89,0.31
196708,-0.3555,0.4821,-0.7586,1.29,-0.58,0.31
196709,6.8718,4.5936,3.7985,1.0866,3.43,0.32
196710,-0.8656,-3.4492,-1.5154,-5.5375,-2.7,0.39
196711,1.2999,-0.8663,1.0867,-0.1409,0.73,0.36
196712,11.0819,8.1061,2.1451,4.0608,3.38,0.33
196801,-1.405,3.4917,-6.151,-1.4448,-3.66,0.4
196802,-7.4998,-4.9376,-3.3073,-3.3115,-3.36,0.39
196803,-0.7159,-0.4988,1.8364,0.4382,0.58,0.38
196804,17.2535,13.2204,10.2455,12.0217,9.48,0.43
196805,9.6046,8.8094,2.4723,4.9767,2.73,0.45
196806,-0.2087,1.5647,-0.0179,-0.3301,1.12,0.43
196807,-5.6047,0.2387,-4.5169,0.4228,-2.24,0.48
196808,3.9146,4.6678,1.1224,2.3848,1.76,0.42
196809,7.4185,6.5425,3.3287,4.8116,4.46,0.43
196810,-0.5614,1.3332,-0.6203,3.1968,0.86,0.44
196811,8.5717,6.7563,5.5073,5.4733,5.85,0.42
196812,0.3302,-1.0953,-4.8652,-3.4555,-3.51,0.43
196901,-1.8141,-0.7065,-1.8167,0.4064,-0.72,0.53
196902,-10.3301,-7.4858,-3.952,-4.9845,-5.38,0.46
196903,3.1033,3.1831,3.8919,2.7972,3.1,0.46
196904,0.835,1.1374,3.2394,2.874,1.99,0.53
196905,-0.2338,0.0718,-0.1839,0.9152,0.38,0.48
196906,-12.2122,-10.9413,-3.4067,-6.847,-6.67,0.51
196907,-11.1679,-7.4247,-4.7347,-6.0828,-6.47,0.53
196908,7.3305,3.8237,6.7198,2.6459,5.18,0.5
196909,-0.4689,-2.8037,-0.5804,-4.7781,-2.36,0.62
196910,10.9353,7.2155,6.3133,3.7212,5.66,0.6
196911,-5.4549,-6.3987,-2.0767,-3.5055,-3.27,0.52
196912,-5.1118,-6.3757,0.0964,-4.3616,-1.99,0.64
197001,-6.0263,-2.2378,-8.0937,-5.624,-7.5,0.6
197002,2.5541,6.1774,3.8115,8.0565,5.75,0.62
197003,-5.0571,0.0746,-1.7482,1.0942,-0.49,0.57
197004,-20.5958,-11.2213,-10.5147,-7.5195,-10.5,0.5
197005,-11.109,-8.0596,-7.8109,-4.2061,-6.39,0.53
197006,-8.6821,-6.0213,-5.4642,-6.9337,-5.21,0.58
197007,7.6004,6.716,5.2034,7.8949,7.45,0.52
197008,6.124,6.6583,4.1249,5.8857,5.02,0.53
197009,17.0959,9.486,7.201,3.8662,4.72,0.54
