PERMNO,date,TICKER,COMNAM,PRC,RET,sprtrn
14541,20151130,CVX,CHEVRON CORP NEW,91.32,0.016615,0.000505
14541,20151231,CVX,CHEVRON CORP NEW,89.96,-0.014893,-0.01753
14541,20160129,CVX,CHEVRON CORP NEW,86.47,-0.038795,-0.050735
14541,20160229,CVX,CHEVRON CORP NEW,83.44,-0.022667,-0.004128
14541,20160331,CVX,CHEVRON CORP NEW,95.4,0.143337,0.065991
14541,20160429,CVX,CHEVRON CORP NEW,102.18,0.071069,0.002699
14541,20160531,CVX,CHEVRON CORP NEW,101,-0.001077,0.015329
14541,20160630,CVX,CHEVRON CORP NEW,104.83,0.037921,0.000906
14541,20160729,CVX,CHEVRON CORP NEW,102.48,-0.022417,0.03561
14541,20160831,CVX,CHEVRON CORP NEW,100.58,-0.008099,-0.001219
14541,20160930,CVX,CHEVRON CORP NEW,102.92,0.023265,-0.001234
14541,20161031,CVX,CHEVRON CORP NEW,104.75,0.017781,-0.019426
14541,20161130,CVX,CHEVRON CORP NEW,111.56,0.075322,0.034174
14541,20161230,CVX,CHEVRON CORP NEW,117.7,0.055038,0.018201
14541,20170131,CVX,CHEVRON CORP NEW,111.35,-0.053951,0.017884
14541,20170228,CVX,CHEVRON CORP NEW,112.5,0.020027,0.037198
14541,20170331,CVX,CHEVRON CORP NEW,107.37,-0.0456,-0.000389
14541,20170428,CVX,CHEVRON CORP NEW,106.7,-0.00624,0.009091
14541,20170531,CVX,CHEVRON CORP NEW,103.48,-0.020056,0.011576
14541,20170630,CVX,CHEVRON CORP NEW,104.33,0.008214,0.004814
14541,20170731,CVX,CHEVRON CORP NEW,109.19,0.046583,0.019349
14541,20170831,CVX,CHEVRON CORP NEW,107.62,-0.004488,0.000546
14541,20170929,CVX,CHEVRON CORP NEW,117.5,0.091804,0.019303
14541,20171031,CVX,CHEVRON CORP NEW,115.89,-0.013702,0.022188
14541,20171130,CVX,CHEVRON CORP NEW,118.99,0.036069,0.028083
14541,20171229,CVX,CHEVRON CORP NEW,125.19,0.052105,0.009832
14541,20180131,CVX,CHEVRON CORP NEW,125.35,0.001278,0.056179
14541,20180228,CVX,CHEVRON CORP NEW,111.92,-0.098205,-0.038947
14541,20180329,CVX,CHEVRON CORP NEW,114.04,0.018942,-0.026885
14541,20180430,CVX,CHEVRON CORP NEW,125.11,0.097071,0.002719
14541,20180531,CVX,CHEVRON CORP NEW,124.3,0.002478,0.021608
14541,20180629,CVX,CHEVRON CORP NEW,126.43,0.017136,0.004842
14541,20180731,CVX,CHEVRON CORP NEW,126.27,-0.001266,0.036022
14541,20180831,CVX,CHEVRON CORP NEW,118.46,-0.052982,0.030263
14541,20180928,CVX,CHEVRON CORP NEW,122.28,0.032247,0.004294
14541,20181031,CVX,CHEVRON CORP NEW,111.65,-0.086932,-0.069403
14541,20181130,CVX,CHEVRON CORP NEW,118.94,0.075325,0.017859
14541,20181231,CVX,CHEVRON CORP NEW,108.79,-0.085337,-0.091777
14541,20190131,CVX,CHEVRON CORP NEW,114.65,0.053865,0.078684
14541,20190228,CVX,CHEVRON CORP NEW,119.58,0.05338,0.029729
14541,20190329,CVX,CHEVRON CORP NEW,123.18,0.030105,0.017924
14541,20190430,CVX,CHEVRON CORP NEW,120.06,-0.025329,0.039313
14541,20190531,CVX,CHEVRON CORP NEW,113.85,-0.041812,-0.065778
14541,20190628,CVX,CHEVRON CORP NEW,124.44,0.093017,0.06893
14541,20190731,CVX,CHEVRON CORP NEW,123.11,-0.010688,0.013128
14541,20190830,CVX,CHEVRON CORP NEW,117.72,-0.034116,-0.018092
14541,20190930,CVX,CHEVRON CORP NEW,118.6,0.007475,0.017181
14541,20191031,CVX,CHEVRON CORP NEW,116.14,-0.020742,0.020432
14541,20191129,CVX,CHEVRON CORP NEW,117.13,0.01877,0.034047
14541,20191231,CVX,CHEVRON CORP NEW,120.51,0.028857,0.02859
14541,20200131,CVX,CHEVRON CORP NEW,107.14,-0.110945,-0.001628
14541,20200228,CVX,CHEVRON CORP NEW,93.34,-0.116763,-0.08411
14541,20200331,CVX,CHEVRON CORP NEW,72.46,-0.223698,-0.125119
14541,20200430,CVX,CHEVRON CORP NEW,92,0.269666,0.126844
14541,20200529,CVX,CHEVRON CORP NEW,91.7,0.010761,0.045282
14541,20200630,CVX,CHEVRON CORP NEW,89.23,-0.026936,0.018388
14541,20200731,CVX,CHEVRON CORP NEW,83.94,-0.059285,0.055101
14541,20200831,CVX,CHEVRON CORP NEW,83.93,0.015249,0.070065
14541,20200930,CVX,CHEVRON CORP NEW,72,-0.142142,-0.039228
14541,20201030,CVX,CHEVRON CORP NEW,69.5,-0.034722,-0.027666
14541,20201130,CVX,CHEVRON CORP NEW,87.18,0.27295,0.107546
14541,20201231,CVX,CHEVRON CORP NEW,84.45,-0.031315,0.037121
14593,19910131,AAPL,APPLE COMPUTER INC,55.5,0.290698,0.041518
14593,19910228,AAPL,APPLE COMPUTER INC,57.25,0.033694,0.067281
14593,19910328,AAPL,APPLE COMPUTER INC,68,0.187773,0.022203
14593,19910430,AAPL,APPLE COMPUTER INC,55,-0.191176,0.000346
14593,19910531,AAPL,APPLE COMPUTER INC,47,-0.143273,0.038577
14593,19910628,AAPL,APPLE COMPUTER INC,41.5,-0.117021,-0.047893
14593,19910731,AAPL,APPLE COMPUTER INC,46.25,0.114458,0.044859
14593,19910830,AAPL,APPLE COMPUTER INC,53,0.148541,0.019649
14593,19910930,AAPL,APPLE COMPUTER INC,49.5,-0.066038,-0.019144
14593,19911031,AAPL,APPLE COMPUTER INC,51.5,0.040404,0.01186
14593,19911129,AAPL,APPLE COMPUTER INC,50.75,-0.012233,-0.043928
14593,19911231,AAPL,APPLE COMPUTER INC,56.375,0.110837,0.111588
14593,19920131,AAPL,APPLE COMPUTER INC,64.75,0.148559,-0.0199
14593,19920228,AAPL,APPLE COMPUTER INC,67.5,0.044324,0.009565
14593,19920331,AAPL,APPLE COMPUTER INC,58.25,-0.137037,-0.021832
14593,19920430,AAPL,APPLE COMPUTER INC,60.125,0.032189,0.027893
